"id","nct_id","name","downcase_name"
48896007,"NCT00006156","Healthy","healthy"
48495695,"NCT00006172","Depression","depression"
48856252,"NCT00006173","Healthy","healthy"
49385423,"NCT00006175","Healthy","healthy"
49095476,"NCT00006180","Depression","depression"
49095477,"NCT00006180","Healthy","healthy"
48746659,"NCT00006191","Healthy","healthy"
48864726,"NCT00006192","Hypertension","hypertension"
48573514,"NCT00006204","Depression","depression"
48623242,"NCT00006214","Prostate Cancer","prostate cancer"
48927157,"NCT00006256","Breast Cancer","breast cancer"
49164359,"NCT00006261","Breast Cancer","breast cancer"
49344732,"NCT00006278","Healthy","healthy"
48884854,"NCT00006285","Healthy","healthy"
49120576,"NCT00006307","Obesity","obesity"
49289977,"NCT00006318","Healthy","healthy"
48772535,"NCT00006346","Breast Cancer","breast cancer"
48597314,"NCT00006349","Depression","depression"
49251233,"NCT00006359","Prostate Cancer","prostate cancer"
48910129,"NCT00006365","Prostate Cancer","prostate cancer"
48573210,"NCT00006369","Breast Cancer","breast cancer"
48910127,"NCT00006370","Breast Cancer","breast cancer"
48946938,"NCT00006371","Prostate Cancer","prostate cancer"
48696185,"NCT00006380","Prostate Cancer","prostate cancer"
48898729,"NCT00006381","Breast Cancer","breast cancer"
48712465,"NCT00006392","Prostate Cancer","prostate cancer"
48976608,"NCT00006395","Healthy","healthy"
48915408,"NCT00006402","Obesity","obesity"
48670546,"NCT00006405","Obesity","obesity"
48491305,"NCT00006406","Hypertension","hypertension"
48974643,"NCT00006408","Hypertension","hypertension"
49285998,"NCT00006409","Obesity","obesity"
49028521,"NCT00006421","Breast Cancer","breast cancer"
49238591,"NCT00006424","Healthy","healthy"
48892047,"NCT00006425","Breast Cancer","breast cancer"
49222502,"NCT00006433","Breast Cancer","breast cancer"
49038859,"NCT00006437","Healthy","healthy"
49174638,"NCT00006459","Breast Cancer","breast cancer"
48809832,"NCT00006492","Healthy","healthy"
48955638,"NCT00006499","Hypertension","hypertension"
48923288,"NCT00006682","Breast Cancer","breast cancer"
48520564,"NCT00006825","Breast Cancer","breast cancer"
49054354,"NCT00006994","Pain","pain"
48544989,"NCT00007137","Healthy","healthy"
49110862,"NCT00007215","Healthy","healthy"
49210992,"NCT00007267","Pain","pain"
49210993,"NCT00007267","Depression","depression"
49391087,"NCT00007800","Obesity","obesity"
48793290,"NCT00007904","Breast Cancer","breast cancer"
48855869,"NCT00008034","Breast Cancer","breast cancer"
48644336,"NCT00008320","Breast Cancer","breast cancer"
49381127,"NCT00008346","Breast Cancer","breast cancer"
48676709,"NCT00008359","Cancer","cancer"
48549874,"NCT00008437","Breast Cancer","breast cancer"
49303157,"NCT00008827","Obesity","obesity"
49052858,"NCT00008892","Healthy","healthy"
48618444,"NCT00009191","Depression","depression"
49132204,"NCT00009542","Healthy","healthy"
48490694,"NCT00009568","Depression","depression"
48564433,"NCT00009685","Healthy","healthy"
48850902,"NCT00009750","Prostate Cancer","prostate cancer"
48627717,"NCT00009763","Breast Cancer","breast cancer"
48934024,"NCT00009945","Breast Cancer","breast cancer"
49021712,"NCT00010010","Breast Cancer","breast cancer"
48771082,"NCT00010023","Cancer","cancer"
49358307,"NCT00010075","Breast Cancer","breast cancer"
49309233,"NCT00010127","Prostate Cancer","prostate cancer"
48664789,"NCT00010153","Breast Cancer","breast cancer"
49232127,"NCT00010283","Breast Cancer","breast cancer"
48633103,"NCT00010322","Breast Cancer","breast cancer"
49080295,"NCT00010504","Pain","pain"
49283041,"NCT00010829","Breast Cancer","breast cancer"
48932275,"NCT00011063","Healthy","healthy"
48622614,"NCT00011102","Obesity","obesity"
48756635,"NCT00011115","Obesity","obesity"
48779679,"NCT00011193","Hypertension","hypertension"
48968152,"NCT00011349","Prostate Cancer","prostate cancer"
49246915,"NCT00011596","Stroke","stroke"
49139429,"NCT00011635","Healthy","healthy"
48674514,"NCT00011752","Healthy","healthy"
49225048,"NCT00011791","Healthy","healthy"
49085325,"NCT00012025","Breast Cancer","breast cancer"
49364720,"NCT00012142","Prostate Cancer","prostate cancer"
49331257,"NCT00012311","Breast Cancer","breast cancer"
49000924,"NCT00013442","Stroke","stroke"
48802151,"NCT00013481","Stroke","stroke"
49133211,"NCT00013832","Healthy","healthy"
49306720,"NCT00014027","Healthy","healthy"
48640191,"NCT00014222","Breast Cancer","breast cancer"
48983248,"NCT00014352","Prostate Cancer","prostate cancer"
48725775,"NCT00014456","Breast Cancer","breast cancer"
48725784,"NCT00014456","Prostate Cancer","prostate cancer"
49321076,"NCT00014482","Depression","depression"
49321080,"NCT00014482","Pain","pain"
48819381,"NCT00014586","Prostate Cancer","prostate cancer"
49076807,"NCT00014612","Breast Cancer","breast cancer"
48517517,"NCT00014638","Breast Cancer","breast cancer"
49083256,"NCT00014872","Obesity","obesity"
49231679,"NCT00014976","Healthy","healthy"
49274077,"NCT00015678","Stroke","stroke"
49274078,"NCT00015678","Healthy","healthy"
49225903,"NCT00015795","Healthy","healthy"
49309222,"NCT00015938","Breast Cancer","breast cancer"
48722807,"NCT00015977","Prostate Cancer","prostate cancer"
49358887,"NCT00016146","Prostate Cancer","prostate cancer"
48705047,"NCT00016380","Cancer","cancer"
48798194,"NCT00016393","Prostate Cancer","prostate cancer"
48866649,"NCT00016406","Breast Cancer","breast cancer"
49013275,"NCT00016432","Breast Cancer","breast cancer"
49309089,"NCT00016510","Healthy","healthy"
49212126,"NCT00016549","Breast Cancer","breast cancer"
48738600,"NCT00016666","Healthy","healthy"
48856627,"NCT00016731","Healthy","healthy"
49319816,"NCT00016796","Healthy","healthy"
48934879,"NCT00016848","Healthy","healthy"
48575446,"NCT00016913","Prostate Cancer","prostate cancer"
48998768,"NCT00017095","Breast Cancer","breast cancer"
48965503,"NCT00017537","Breast Cancer","breast cancer"
48894188,"NCT00017563","Prostate Cancer","prostate cancer"
49268471,"NCT00017576","Prostate Cancer","prostate cancer"
48645390,"NCT00017836","Depression","depression"
48823892,"NCT00017875","Healthy","healthy"
48908981,"NCT00017953","Stroke","stroke"
48580902,"NCT00017966","Healthy","healthy"
49388786,"NCT00017979","Healthy","healthy"
48642937,"NCT00018759","Depression","depression"
48642938,"NCT00018759","Hypertension","hypertension"
48749634,"NCT00018902","Depression","depression"
48511076,"NCT00019916","Breast Cancer","breast cancer"
49176310,"NCT00020098","Breast Cancer","breast cancer"
49139089,"NCT00020176","Breast Cancer","breast cancer"
49154892,"NCT00020254","Prostate Cancer","prostate cancer"
48959307,"NCT00020267","Breast Cancer","breast cancer"
49303105,"NCT00020332","Breast Cancer","breast cancer"
48489505,"NCT00020410","Breast Cancer","breast cancer"
48709318,"NCT00020579","Cancer","cancer"
48712148,"NCT00020618","Pain","pain"
48655819,"NCT00020722","Breast Cancer","breast cancer"
48673210,"NCT00020735","Prostate Cancer","prostate cancer"
48776229,"NCT00020852","Breast Cancer","breast cancer"
48891809,"NCT00020891","Prostate Cancer","prostate cancer"
49337408,"NCT00020904","Breast Cancer","breast cancer"
48849575,"NCT00020995","Prostate Cancer","prostate cancer"
48704381,"NCT00021450","Prostate Cancer","prostate cancer"
48913868,"NCT00021528","Depression","depression"
48813434,"NCT00021710","Stroke","stroke"
48813435,"NCT00021710","Healthy","healthy"
48952319,"NCT00021879","Obesity","obesity"
48639096,"NCT00021905","Hypertension","hypertension"
49277289,"NCT00021918","Hypertension","hypertension"
48622866,"NCT00021996","Pain","pain"
48750343,"NCT00022074","Breast Cancer","breast cancer"
48750344,"NCT00022074","Depression","depression"
48737542,"NCT00022087","Breast Cancer","breast cancer"
48805182,"NCT00022152","Breast Cancer","breast cancer"
49187022,"NCT00022204","Breast Cancer","breast cancer"
48521110,"NCT00022230","Breast Cancer","breast cancer"
48624521,"NCT00022399","Prostate Cancer","prostate cancer"
48520141,"NCT00022412","Prostate Cancer","prostate cancer"
48884106,"NCT00022425","Breast Cancer","breast cancer"
48491926,"NCT00022516","Breast Cancer","breast cancer"
48610390,"NCT00022672","Breast Cancer","breast cancer"
49077426,"NCT00022919","Prostate Cancer","prostate cancer"
49275330,"NCT00022997","Healthy","healthy"
48554133,"NCT00023062","Healthy","healthy"
49345635,"NCT00023634","Prostate Cancer","prostate cancer"
49198699,"NCT00023686","Prostate Cancer","prostate cancer"
48544604,"NCT00023790","Breast Cancer","breast cancer"
48496890,"NCT00023829","Prostate Cancer","prostate cancer"
48636451,"NCT00024102","Breast Cancer","breast cancer"
48704286,"NCT00024167","Prostate Cancer","prostate cancer"
48749211,"NCT00024232","Prostate Cancer","prostate cancer"
48704049,"NCT00024414","Prostate Cancer","prostate cancer"
49001623,"NCT00024583","Obesity","obesity"
49001624,"NCT00024583","Hypertension","hypertension"
48558822,"NCT00024635","Depression","depression"
48726724,"NCT00024908","Healthy","healthy"
49203506,"NCT00025116","Prostate Cancer","prostate cancer"
48839230,"NCT00025194","Prostate Cancer","prostate cancer"
49337187,"NCT00025493","Breast Cancer","breast cancer"
49268973,"NCT00025688","Breast Cancer","breast cancer"
49189216,"NCT00025831","Healthy","healthy"
49115931,"NCT00025857","Healthy","healthy"
48581220,"NCT00025987","Healthy","healthy"
48954841,"NCT00026052","Depression","depression"
48627161,"NCT00026078","Breast Cancer","breast cancer"
49015133,"NCT00026117","Breast Cancer","breast cancer"
49081534,"NCT00026247","Pain","pain"
48969845,"NCT00026286","Breast Cancer","breast cancer"
49206864,"NCT00026377","Prostate Cancer","prostate cancer"
49042308,"NCT00026442","Breast Cancer","breast cancer"
48550796,"NCT00026637","Depression","depression"
48558352,"NCT00026650","Cancer","cancer"
48586097,"NCT00026754","Breast Cancer","breast cancer"
48586098,"NCT00026754","Prostate Cancer","prostate cancer"
48843946,"NCT00026819","Pain","pain"
48914712,"NCT00026832","Depression","depression"
48617595,"NCT00027014","Pain","pain"
49203145,"NCT00027105","Breast Cancer","breast cancer"
49075707,"NCT00027118","Breast Cancer","breast cancer"
49116119,"NCT00027157","Healthy","healthy"
49182232,"NCT00027326","Cancer","cancer"
49192605,"NCT00027378","Depression","depression"
49087440,"NCT00027482","Healthy","healthy"
49262680,"NCT00027534","Breast Cancer","breast cancer"
49145986,"NCT00027599","Prostate Cancer","prostate cancer"
48692893,"NCT00027781","Prostate Cancer","prostate cancer"
48961301,"NCT00027794","Prostate Cancer","prostate cancer"
48900436,"NCT00027807","Breast Cancer","breast cancer"
48966820,"NCT00027859","Prostate Cancer","prostate cancer"
49072728,"NCT00027885","Breast Cancer","breast cancer"
48633686,"NCT00027963","Pain","pain"
49282825,"NCT00027989","Breast Cancer","breast cancer"
49332743,"NCT00028197","Healthy","healthy"
49044430,"NCT00028249","Pain","pain"
49156814,"NCT00028340","Breast Cancer","breast cancer"
49340608,"NCT00028405","Breast Cancer","breast cancer"
49242905,"NCT00028483","Breast Cancer","breast cancer"
49213787,"NCT00028574","Prostate Cancer","prostate cancer"
48817414,"NCT00028639","Breast Cancer","breast cancer"
49231242,"NCT00028704","Breast Cancer","breast cancer"
48584674,"NCT00028769","Prostate Cancer","prostate cancer"
48937643,"NCT00028873","Breast Cancer","breast cancer"
48831253,"NCT00028964","Breast Cancer","breast cancer"
48990949,"NCT00028977","Breast Cancer","breast cancer"
48728888,"NCT00028990","Breast Cancer","breast cancer"
48993206,"NCT00029029","Pain","pain"
49067002,"NCT00029068","Healthy","healthy"
48544916,"NCT00029120","Healthy","healthy"
49284650,"NCT00029146","Stroke","stroke"
48659855,"NCT00029224","Breast Cancer","breast cancer"
48659857,"NCT00029224","Prostate Cancer","prostate cancer"
48928330,"NCT00029263","Healthy","healthy"
48628228,"NCT00029276","Depression","depression"
49055679,"NCT00029302","Healthy","healthy"
48613715,"NCT00029588","Depression","depression"
48828962,"NCT00029601","Healthy","healthy"
48552428,"NCT00029627","Healthy","healthy"
48902137,"NCT00029653","Healthy","healthy"
48718900,"NCT00029692","Healthy","healthy"
49084872,"NCT00029718","Healthy","healthy"
48493929,"NCT00029835","Obesity","obesity"
48785231,"NCT00029848","Obesity","obesity"
49063883,"NCT00029861","Obesity","obesity"
48938171,"NCT00029939","Healthy","healthy"
49060328,"NCT00029978","Healthy","healthy"
49154195,"NCT00030147","Depression","depression"
48826130,"NCT00030160","Obesity","obesity"
49242351,"NCT00030199","Healthy","healthy"
48588862,"NCT00030238","Obesity","obesity"
49208688,"NCT00030277","Prostate Cancer","prostate cancer"
49332515,"NCT00030290","Prostate Cancer","prostate cancer"
48645601,"NCT00030537","Breast Cancer","breast cancer"
48864046,"NCT00030602","Prostate Cancer","prostate cancer"
48551439,"NCT00030654","Prostate Cancer","prostate cancer"
48766519,"NCT00030758","Breast Cancer","breast cancer"
48651696,"NCT00030823","Breast Cancer","breast cancer"
49015131,"NCT00030901","Prostate Cancer","prostate cancer"
49148176,"NCT00031200","Obesity","obesity"
48754285,"NCT00031213","Obesity","obesity"
49245912,"NCT00031226","Obesity","obesity"
48990205,"NCT00031239","Obesity","obesity"
48907882,"NCT00031369","Healthy","healthy"
49019067,"NCT00031382","Healthy","healthy"
48607267,"NCT00031720","Breast Cancer","breast cancer"
49197676,"NCT00031746","Prostate Cancer","prostate cancer"
48675586,"NCT00031798","Depression","depression"
48957883,"NCT00031811","Breast Cancer","breast cancer"
48952297,"NCT00031850","Breast Cancer","breast cancer"
48679288,"NCT00031876","Breast Cancer","breast cancer"
49361466,"NCT00031889","Prostate Cancer","prostate cancer"
48823186,"NCT00032006","Prostate Cancer","prostate cancer"
48849617,"NCT00032058","Prostate Cancer","prostate cancer"
49044311,"NCT00032136","Breast Cancer","breast cancer"
48530732,"NCT00032201","Healthy","healthy"
48726060,"NCT00032565","Healthy","healthy"
48878913,"NCT00032656","Healthy","healthy"
49110059,"NCT00032760","Obesity","obesity"
49145935,"NCT00032812","Healthy","healthy"
48801833,"NCT00032838","Healthy","healthy"
49112626,"NCT00033345","Breast Cancer","breast cancer"
49379422,"NCT00033384","Breast Cancer","breast cancer"
49005777,"NCT00033397","Breast Cancer","breast cancer"
48846768,"NCT00033514","Breast Cancer","breast cancer"
49319864,"NCT00033605","Prostate Cancer","prostate cancer"
48874847,"NCT00033631","Prostate Cancer","prostate cancer"
48846492,"NCT00033683","Breast Cancer","breast cancer"
49224296,"NCT00033787","Healthy","healthy"
49024781,"NCT00033852","Depression","depression"
48883556,"NCT00033969","Healthy","healthy"
48672937,"NCT00034060","Healthy","healthy"
48856664,"NCT00034073","Healthy","healthy"
49126852,"NCT00034216","Prostate Cancer","prostate cancer"
49126853,"NCT00034216","Breast Cancer","breast cancer"
48711774,"NCT00034710","Pain","pain"
48847075,"NCT00034801","Depression","depression"
48540672,"NCT00034840","Hypertension","hypertension"
48782069,"NCT00034970","Cancer","cancer"
48543633,"NCT00035698","Obesity","obesity"
49012153,"NCT00035711","Hypertension","hypertension"
49012155,"NCT00035711","Obesity","obesity"
49331260,"NCT00035997","Prostate Cancer","prostate cancer"
48715578,"NCT00036075","Prostate Cancer","prostate cancer"
48748778,"NCT00036335","Depression","depression"
48748779,"NCT00036335","Pain","pain"
48806168,"NCT00036543","Prostate Cancer","prostate cancer"
48700389,"NCT00036686","Breast Cancer","breast cancer"
49335187,"NCT00036712","Pain","pain"
48766002,"NCT00036790","Breast Cancer","breast cancer"
48766011,"NCT00036790","Prostate Cancer","prostate cancer"
49338588,"NCT00036829","Pain","pain"
48852670,"NCT00036868","Breast Cancer","breast cancer"
48586373,"NCT00036933","Prostate Cancer","prostate cancer"
49270640,"NCT00036985","Breast Cancer","breast cancer"
48515308,"NCT00036998","Breast Cancer","breast cancer"
48981406,"NCT00037024","Breast Cancer","breast cancer"
48981407,"NCT00037024","Depression","depression"
48981410,"NCT00037024","Prostate Cancer","prostate cancer"
49156197,"NCT00037271","Obesity","obesity"
49199836,"NCT00037284","Depression","depression"
48608825,"NCT00037310","Hypertension","hypertension"
48776791,"NCT00037323","Depression","depression"
48948187,"NCT00037752","Obesity","obesity"
48627641,"NCT00037934","Stroke","stroke"
48682171,"NCT00038168","Prostate Cancer","prostate cancer"
49008350,"NCT00038181","Prostate Cancer","prostate cancer"
48773104,"NCT00038194","Prostate Cancer","prostate cancer"
49112708,"NCT00038246","Prostate Cancer","prostate cancer"
49003991,"NCT00038402","Breast Cancer","breast cancer"
48712550,"NCT00038727","Cancer","cancer"
48625480,"NCT00039052","Breast Cancer","breast cancer"
48924222,"NCT00039286","Breast Cancer","breast cancer"
49067590,"NCT00039299","Prostate Cancer","prostate cancer"
48970684,"NCT00039520","Breast Cancer","breast cancer"
48839244,"NCT00039546","Breast Cancer","breast cancer"
49078242,"NCT00039624","Prostate Cancer","prostate cancer"
48770941,"NCT00039650","Healthy","healthy"
49349540,"NCT00039715","Healthy","healthy"
48582078,"NCT00039819","Healthy","healthy"
48951455,"NCT00039845","Healthy","healthy"
48845382,"NCT00039936","Obesity","obesity"
49048186,"NCT00040235","Healthy","healthy"
49310060,"NCT00040261","Depression","depression"
48787088,"NCT00040833","Pain","pain"
48696266,"NCT00041067","Breast Cancer","breast cancer"
48839368,"NCT00041119","Breast Cancer","breast cancer"
48784454,"NCT00041223","Breast Cancer","breast cancer"
48705238,"NCT00041301","Prostate Cancer","prostate cancer"
48670568,"NCT00041444","Hypertension","hypertension"
49168348,"NCT00041470","Breast Cancer","breast cancer"
48665892,"NCT00041652","Breast Cancer","breast cancer"
48925927,"NCT00041847","Prostate Cancer","prostate cancer"
48760882,"NCT00041899","Healthy","healthy"
48595108,"NCT00041938","Stroke","stroke"
48770823,"NCT00042081","Coronary Artery Disease","coronary artery disease"
48655463,"NCT00042133","Healthy","healthy"
48586412,"NCT00042198","Depression","depression"
49098479,"NCT00042211","Depression","depression"
49163427,"NCT00042237","Depression","depression"
48734167,"NCT00042380","Depression","depression"
48600007,"NCT00042731","Prostate Cancer","prostate cancer"
49192652,"NCT00043017","Breast Cancer","breast cancer"
48661637,"NCT00043069","Prostate Cancer","prostate cancer"
49179283,"NCT00043472","Breast Cancer","breast cancer"
49296658,"NCT00043550","Depression","depression"
48953719,"NCT00043576","Prostate Cancer","prostate cancer"
49153553,"NCT00043602","Depression","depression"
48986055,"NCT00043628","Coronary Artery Disease","coronary artery disease"
49241097,"NCT00044096","Healthy","healthy"
49139328,"NCT00044174","Depression","depression"
49003006,"NCT00044200","Healthy","healthy"
48819340,"NCT00044213","Coronary Artery Disease","coronary artery disease"
48677697,"NCT00044265","Hypertension","hypertension"
49271277,"NCT00044616","Depression","depression"
49191492,"NCT00044681","Depression","depression"
48670396,"NCT00044798","Depression","depression"
48697285,"NCT00044915","Stroke","stroke"
48971871,"NCT00044980","Prostate Cancer","prostate cancer"
48817581,"NCT00044993","Breast Cancer","breast cancer"
48834794,"NCT00045006","Cancer","cancer"
48743386,"NCT00045032","Breast Cancer","breast cancer"
48644666,"NCT00045097","Breast Cancer","breast cancer"
49348070,"NCT00045123","Prostate Cancer","prostate cancer"
48675074,"NCT00045227","Prostate Cancer","prostate cancer"
48977126,"NCT00045292","Cancer","cancer"
49130278,"NCT00045331","Prostate Cancer","prostate cancer"
48820307,"NCT00045591","Breast Cancer","breast cancer"
48668806,"NCT00045773","Depression","depression"
48767808,"NCT00045838","Healthy","healthy"
48574327,"NCT00045916","Depression","depression"
49293077,"NCT00045981","Hypertension","hypertension"
48493397,"NCT00045994","Hypertension","hypertension"
49200738,"NCT00046215","Healthy","healthy"
48704938,"NCT00046397","Healthy","healthy"
48758537,"NCT00046566","Hypertension","hypertension"
48693062,"NCT00046579","Obesity","obesity"
48768106,"NCT00046826","Prostate Cancer","prostate cancer"
48900858,"NCT00046865","Breast Cancer","breast cancer"
49307328,"NCT00046891","Breast Cancer","breast cancer"
49108514,"NCT00046943","Prostate Cancer","prostate cancer"
48920481,"NCT00047099","Breast Cancer","breast cancer"
48654541,"NCT00047255","Breast Cancer","breast cancer"
49132797,"NCT00047580","Stroke","stroke"
48711553,"NCT00047671","Depression","depression"
48646913,"NCT00047749","Pain","pain"
49047433,"NCT00047970","Breast Cancer","breast cancer"
48620425,"NCT00048477","Healthy","healthy"
49193334,"NCT00048815","Depression","depression"
49304086,"NCT00048841","Prostate Cancer","prostate cancer"
49378033,"NCT00049062","Breast Cancer","breast cancer"
49089688,"NCT00049244","Breast Cancer","breast cancer"
49168284,"NCT00049257","Prostate Cancer","prostate cancer"
48947631,"NCT00049296","Cancer","cancer"
49117432,"NCT00049309","Prostate Cancer","prostate cancer"
48700878,"NCT00049452","Breast Cancer","breast cancer"
49221038,"NCT00049608","Breast Cancer","breast cancer"
49217773,"NCT00049660","Breast Cancer","breast cancer"
48525506,"NCT00049855","Hypertension","hypertension"
48646486,"NCT00049881","Obesity","obesity"
49210613,"NCT00049894","Hypertension","hypertension"
48918718,"NCT00049907","Hypertension","hypertension"
48517076,"NCT00049933","Hypertension","hypertension"
48686021,"NCT00050037","Obesity","obesity"
48711212,"NCT00050141","Breast Cancer","breast cancer"
48629700,"NCT00050167","Breast Cancer","breast cancer"
48511182,"NCT00050180","Healthy","healthy"
49278864,"NCT00050362","Pain","pain"
49352637,"NCT00050596","Prostate Cancer","prostate cancer"
49310907,"NCT00050700","Depression","depression"
48702738,"NCT00050765","Coronary Artery Disease","coronary artery disease"
48799003,"NCT00050791","Obesity","obesity"
48540360,"NCT00050869","Healthy","healthy"
49163399,"NCT00051207","Depression","depression"
49115794,"NCT00051350","Hypertension","hypertension"
49315960,"NCT00051389","Hypertension","hypertension"
49109715,"NCT00051727","Depression","depression"
49250960,"NCT00051870","Healthy","healthy"
48670724,"NCT00052000","Prostate Cancer","prostate cancer"
49185787,"NCT00052091","Depression","depression"
48720335,"NCT00052351","Breast Cancer","breast cancer"
49337208,"NCT00052481","Prostate Cancer","prostate cancer"
48523674,"NCT00052676","Breast Cancer","breast cancer"
49375482,"NCT00052728","Breast Cancer","breast cancer"
49378638,"NCT00052845","Prostate Cancer","prostate cancer"
49039390,"NCT00053469","Healthy","healthy"
49269614,"NCT00053534","Hypertension","hypertension"
49269615,"NCT00053534","Obesity","obesity"
49115426,"NCT00053742","Healthy","healthy"
49294595,"NCT00053898","Breast Cancer","breast cancer"
48853398,"NCT00053911","Breast Cancer","breast cancer"
48878346,"NCT00054015","Prostate Cancer","prostate cancer"
48903712,"NCT00054106","Prostate Cancer","prostate cancer"
49339335,"NCT00054145","Breast Cancer","breast cancer"
48860966,"NCT00054275","Breast Cancer","breast cancer"
48916765,"NCT00054301","Breast Cancer","breast cancer"
48822326,"NCT00054418","Breast Cancer","breast cancer"
48759267,"NCT00054470","Breast Cancer","breast cancer"
49160441,"NCT00054522","Prostate Cancer","prostate cancer"
48982904,"NCT00054574","Prostate Cancer","prostate cancer"
48740201,"NCT00054587","Breast Cancer","breast cancer"
48646704,"NCT00054678","Coronary Artery Disease","coronary artery disease"
48825371,"NCT00054756","Healthy","healthy"
48745862,"NCT00054847","Coronary Artery Disease","coronary artery disease"
48529522,"NCT00054925","Obesity","obesity"
48529524,"NCT00054925","Hypertension","hypertension"
48741893,"NCT00054977","Breast Cancer","breast cancer"
48741895,"NCT00054977","Prostate Cancer","prostate cancer"
48936472,"NCT00054990","Healthy","healthy"
48662061,"NCT00055003","Healthy","healthy"
49243235,"NCT00055289","Healthy","healthy"
48489034,"NCT00055328","Depression","depression"
48744950,"NCT00055380","Cancer","cancer"
48814558,"NCT00055575","Healthy","healthy"
48666152,"NCT00055588","Healthy","healthy"
49059099,"NCT00055679","Breast Cancer","breast cancer"
48595202,"NCT00055705","Cancer","cancer"
48998904,"NCT00055731","Prostate Cancer","prostate cancer"
49169749,"NCT00055926","Breast Cancer","breast cancer"
48613244,"NCT00055991","Breast Cancer","breast cancer"
48879413,"NCT00056082","Breast Cancer","breast cancer"
49014697,"NCT00056238","Stroke","stroke"
49069677,"NCT00056303","Depression","depression"
49340336,"NCT00056316","Depression","depression"
48682240,"NCT00056485","Depression","depression"
